Name of Clinic,Address,Email,Phone,Services
My FootDr Brisbane CBD,i Ground Level324 Queen StreetBrisbane QLD 4000,brisbanecbd@myfootdr.com.au,0736345800,CAM Walker (Moon Boot); Clinical Podiatry; Cosmetic Nail Restoration; Cryotherapy For Plantar Warts; Custom Foot Orthotics; Custom Footwear; Diabetic Footcare; Footwear; Fungal Nail Infection Laser Treatment; National Disability Insurance Scheme; Seniors Footcare; Video Gait Analysis
My FootDr Brookwater,i 17 / L1 Brookwater Retail Village2 Tournament DriveBrookwater QLD 4300,brookwater@myfootdr.com.au,0734328500,CAM Walker (Moon Boot); Clinical Podiatry; Custom Foot Orthotics; Custom Footwear; Diabetic Footcare; Footwear; Fungal Nail Infection Laser Treatment; National Disability Insurance Scheme; Seniors Footcare; Shockwave Therapy; Supramalleolar Orthotics (SMOs); Video Gait Analysis
Allsports Podiatry Calamvale,i Cnr Kameruka Street & Beaudesert RoadCalamvale QLD 4116,calamvale@allsportspodiatry.com.au,0732725230,CAM walker (moon boot); Clinical podiatry; Custom foot orthotics; Diabetic footcare; National Disability Insurance Scheme; Seniors footcare; Video gait analysis
My FootDr Allsports Podiatry Aspley,i 2/1370 Gympie RoadAspley QLD 4034,aspley@allsportspodiatry.com.au,0733780135,"Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint"
Allsports Podiatry Albany Creek,i Albany Creek Leisure CentreCnr Old Northern Rd & Explorer DriveAlbany Creek QLD 4035,albanycreek@allsportspodiatry.com.au,0732645159,Custom Orthotics; Digital Gait analysis; Footwear assessments; General podiatry care; Paediatric assessments; Sports podiatry
My FootDr Camp Hill,i 50 Wyena Street(Cnr Clara & Wyena St)Camp Hill QLD 4152,camphill@myfootdr.com.au,0730353900,CAM walker (moon boot); Clinical podiatry; Cobra9 cycling orthotics; Cosmetic nail restoration; Cryotherapy for plantar warts; Custom cricket shoes; Custom foot orthotics; Custom footwear; Diabetic footcare; Footwear; Fungal nail infection laser treatment; National Disability Insurance Scheme; Paraffin wax bath treatment; SWIFT microwave wart therapy; Seniors footcare; Shockwave therapy; SureStep; Video gait analysis
My FootDr Fortitude Valley,i 2/455A Brunswick StreetFortitude Valley QLD 4006,fortitudevalley@myfootdr.com.au,0736406100,CAM walker (moon boot); Clinical podiatry; Cosmetic nail restoration; Cryotherapy for plantar warts; Custom foot orthotics; Custom footwear; Diabetic footcare; Footwear; Fungal nail infection laser treatment; National Disability Insurance Scheme; Paraffin wax bath treatment; Seniors footcare; Shockwave therapy; Video gait analysis
My FootDr Gumdale,"i Eastside Village Shopping CentreShop 20, Cnr New Cleveland & Tilley RoadsGumdale QLD 4154",gumdale@myfootdr.com.au,0739172700,CAM walker (moon boot); Clinical podiatry; Cosmetic nail restoration; Cryotherapy for plantar warts; Custom foot orthotics; Custom footwear; Diabetic footcare; National Disability Insurance Scheme; Paraffin wax bath treatment; Seniors footcare; Video gait analysis
My FootDr Allsports Podiatry Hawthorne,i Brisbane Sports & Exercise Medicine Specialists87 Riding RoadHawthorne QLD 4171,hawthorne@allsportspodiatry.com.au,1800366837,Custom Orthotics; Digital Gait analysis; Footwear assessments; Paediatric assessments; Sports podiatry
My FootDr Indooroopilly,i 56B Coonan StreetIndooroopilly QLD 4068,indooroopilly@myfootdr.com.au,0737206200,CAM walker (moon boot); Clinical podiatry; Cosmetic nail restoration; Custom foot orthotics; Custom footwear; Diabetic footcare; Footwear; Fungal nail infection laser treatment; National Disability Insurance Scheme; Paraffin wax bath treatment; Seniors footcare; Shockwave therapy; Video gait analysis
Anytime Physio & Podiatry Newstead,i Shop B6 / 76 Skyring TerraceGasworks PlazaNewstead QLD 4006,info@anytimephysio.com.au,0737330944,"Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint"
My FootDr Red Hill,i Arthur House47 Arthur TceRed Hill QLD 4059,redhill@myfootdr.com.au,1800366837,"Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint"
My FootDr North Lakes,"i North Lakes Specialist Medical CentreUnit 204, 6 North Lakes DriveNorth Lakes QLD 4509",northlakes@myfootdr.com.au,0738156490,"Children’s foot health; Diabetes foot care; Heel and arch pain (plantar fasciitis); Sports injuries including shin splints, Achilles pain and knee pain (anterior knee pain, meniscal injuries, and patella tendinitis"
My FootDr Redcliffe,i Dolphins Central Shopping Centre10/110 Ashmole RdRedcliffe QLD 4020,redcliffe@myfootdr.com.au,0733858100,"From children to professional sports athletes, My FootDr has helped support many happy feet across the country, and is proudly the leading provider of custom foot orthotics in Redcliffe; From the introduction of our first walking shoe in 1985 to the full line of footwear we offer today; comfort, stability, style and protection, plus a wide array of sizes and widths, have been the promise of our brand; Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint; Our Redcliffe podiatry centre is equipped with state of the art podiatric equipment, such as video gait analysis equipment for comprehensive biomechanical examinations, 3D foot scanning for orthotic manufacturing and two dedicated surgical rooms for ingrown toenail surgeries and general footcare; Revere footwear provides all day comfort, functionality and support by enhancing foot health for those experiencing heel pain, tired aching feet, sore knees and lower back pain; We treat a wide range of foot, ankle and lower leg conditions including heel pain (plantar fasciitis), Achilles Tendinopathy, shin splints (medial tibial periostitis), bunions (hallux valgus), forefoot pain (Morton’s neuroma), foot and ankle sprains, knee pain (e"
Allsports Podiatry Red Hill,i The Red Hill Centre11/152 Musgrave RoadRed Hill QLD 4059,redhill@allsportspodiatry.com.au,0732175955,3D Printed Orthotics; Biomechanical Assessments; Custom Sports Orthotics; Nail Surgery and General Podiatry Care; Paediatric Assessments; Sports Podiatry; Video Gait Assessment
My FootDr Stafford,i Shop 93A Stafford City Shopping Centre400 Stafford RdStafford QLD 4053,stafford@myfootdr.com.au,0735134000,"My FootDr Stafford has once again rallied the community to find pre-loved running shoes to donate to Shoes For Planet Earth, a non-profit organisation that provides local and international communities with footwear; Plantar Fasciitis is the leading cause of pain beneath the heel or into the inner arch of the foot; Revere footwear provides all day comfort, functionality and support by enhancing foot health for those experiencing heel pain, tired aching feet, sore knees and lower back pain; We can treat a wide range of foot, ankle and lower leg conditions including heel pain (plantar fasciitis), Achilles Tendinopathy, shin splints (medial tibial periostitis), bunions (hallux valgus), forefoot pain (Morton’s neuroma), foot and ankle sprains, knee pain (e"
Back In Motion Podiatry Bayswater,i Shop 9a 348 Mountain HwyWantirna VIC 3152,bayswater.podiatry@backinmotion.com.au,0397207676,"Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint"
The Foot and Ankle Clinic Podiatry Chadstone,i 79 Chadstone RoadMalvern East VIC 3145,chadstone@thefootandankleclinic.com.au,0395695796,CAM walker (moon boot); Clinical podiatry; Cosmetic nail restoration; Cryotherapy for plantar warts; Custom foot orthotics; Custom footwear; Diabetic footcare; Footwear; Fungal nail infection laser treatment; National Disability Insurance Scheme; Paraffin wax bath treatment; Seniors footcare; Shockwave therapy; Verruca Surgery; Video gait analysis
The Foot and Ankle Clinic Sale,i 195 Raymond StreetSale VIC 3850,sale@thefootandankleclinic.com.au,0351447655,"From heel pain to nail fungus, The Foot and Ankle Clinic has been providing foot care solutions for close to 25 years; Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint"
The Foot and Ankle Clinic Moe,i 11 Haigh StreetMoe VIC 3825,moe@thefootandankleclinic.com.au,0351278555,"From heel pain to nail fungus, The Foot and Ankle Clinic has been providing foot care solutions for close to 25 years; Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint"
My FootDr Warragul,i 1/65 Victoria StWarragul VIC 3820,warragul@myfootdr.com.au,0356234677,"Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint; We provide professional and compassionate treatments, including custom foot orthotics, sports podiatry, podiatry for children, diabetic footcare, ingrown toenail treatment, nail fungus treatment and arch and heel pain"
My FootDr Wantirna,i Shop 9a 348 Mountain HwyWantirna VIC 3152,bayswater.podiatry@backinmotion.com.au,,"Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint; We can help you with dry skin/cracked heels, foot, hip & knee pain, heel pain, ingrown toenails (onychocryptosis), ankle & foot injury rehabilitation, custom-made orthotics, and soft tissue injuries"
The Foot and Ankle Clinic Traralgon,i 39 Grey StreetTraralgon VIC 3844,traralgon@thefootandankleclinic.com.au,0351742615,"From heel pain to nail fungus, The Foot and Ankle Clinic has been providing foot care solutions for close to 25 years; Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint"
Border Podiatry Wodonga,i 5/91 Hume StWodonga VIC 3690,wodonga@myfootdr.com.au,0260245577,"At Border Podiatry Centre we are your local Wodonga podiatrists, dedicated to helping you with all your footwear and podiatry needs; Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint; Our clinic specialises in the treatment of Heel pain, Shockwave therapy, shin pain, kids feet, Diabetes and toenail problems, treatment of the elderly, acupuncture, needling, general foot care as well providing custom footwear and orthotics services"
Advanced Foot Care Bundaberg,i 10/36 Quay StBundaberg Central QLD 4670,bundaberg@myfootdr.com.au,,Custom Orthotics; Digital Gait analysis; Footwear assessments; General podiatry care; Paediatric assessments; Sports podiatry
